,base_market,quote_market,hedge_ratio,half_life
86,YFI-USD,CRV-USD,12837.247290602825,19.0
87,YFI-USD,CELO-USD,7289.125898945129,19.0
88,YFI-USD,ADA-USD,13677.965606474007,8.0
89,YFI-USD,ENJ-USD,17094.635837235648,17.0
90,YFI-USD,SUSHI-USD,5127.440960659884,8.0
91,YFI-USD,ETH-USD,2.5640642385427355,2.0
92,YFI-USD,EOS-USD,8768.588127189945,6.0
93,RUNE-USD,COMP-USD,0.11527102389799905,9.0
94,RUNE-USD,FIL-USD,0.9649092528397645,10.0
95,RUNE-USD,CRV-USD,12.565038457673758,10.0
96,RUNE-USD,BTC-USD,0.00013261464054618389,9.0
97,RUNE-USD,CELO-USD,7.132999820833004,12.0
98,RUNE-USD,1INCH-USD,15.421788364669876,8.0
99,RUNE-USD,ENJ-USD,16.728991964299425,11.0
100,RUNE-USD,SUSHI-USD,5.0154503644372985,12.0
101,RUNE-USD,XLM-USD,66.43015532967442,16.0
102,RUNE-USD,EOS-USD,8.574252186491625,8.0
103,RUNE-USD,ATOM-USD,0.736309709204807,14.0
104,COMP-USD,TRX-USD,632.8371825627698,21.0
105,COMP-USD,CRV-USD,108.94741928915059,10.0
106,COMP-USD,NEAR-USD,10.783927878059622,15.0
107,COMP-USD,CELO-USD,61.89817349054411,13.0
108,COMP-USD,1INCH-USD,133.68920172592505,7.0
109,COMP-USD,ADA-USD,116.02465057988087,9.0
110,COMP-USD,ENJ-USD,145.106847121386,8.0
111,COMP-USD,SUSHI-USD,43.49213240871826,9.0
112,COMP-USD,ETH-USD,0.021752004014686122,2.0
113,COMP-USD,EOS-USD,74.35784530831565,8.0
114,COMP-USD,ATOM-USD,6.385742502686298,9.0
115,ALGO-USD,ADA-USD,0.39938525059362784,18.0
116,ALGO-USD,SUSHI-USD,0.1497098163706315,14.0
117,FIL-USD,CRV-USD,13.015372249816734,14.0
118,FIL-USD,NEAR-USD,1.2882807602880422,16.0
119,FIL-USD,CELO-USD,7.393531221457363,14.0
120,FIL-USD,ADA-USD,13.86004893115636,10.0
121,FIL-USD,ENJ-USD,17.33464040003155,9.0
122,FIL-USD,SUSHI-USD,5.196068889275756,7.0
123,FIL-USD,ETH-USD,0.0025978544283885964,2.0
124,FIL-USD,EOS-USD,8.885700766281323,6.0
125,FIL-USD,ATOM-USD,0.7628639181590049,10.0
126,MATIC-USD,CRV-USD,1.4871558205952566,9.0
127,MATIC-USD,DOT-USD,0.10797709082347465,8.0
128,MATIC-USD,ADA-USD,1.5837245914649387,6.0
129,TRX-USD,DOT-USD,0.012479195808209654,15.0
130,TRX-USD,ADA-USD,0.1830141300302729,16.0
131,CRV-USD,ADA-USD,1.0642793822316352,12.0
132,NEAR-USD,DOT-USD,0.7307551761907971,14.0
133,NEAR-USD,BTC-USD,0.00010631955679427514,8.0
134,NEAR-USD,CELO-USD,5.701467830785214,18.0
135,NEAR-USD,1INCH-USD,12.347608884792319,14.0
136,NEAR-USD,ADA-USD,10.713750732775189,16.0
137,NEAR-USD,SUSHI-USD,4.015431170886661,17.0
138,NEAR-USD,ETH-USD,0.0020092493560654465,3.0
139,NEAR-USD,ATOM-USD,0.5898815292176447,14.0
140,NEAR-USD,LTC-USD,0.0809534468996979,17.0
141,DOT-USD,ADA-USD,14.663164320625267,5.0
142,BTC-USD,CELO-USD,53607.04005265977,15.0
143,BTC-USD,1INCH-USD,116033.27516138661,6.0
144,BTC-USD,XLM-USD,500423.1585066932,4.0
145,BTC-USD,EOS-USD,64549.60627496072,6.0
146,BTC-USD,ATOM-USD,5544.629424866796,4.0
147,BTC-USD,LTC-USD,761.4367413087244,4.0
148,CELO-USD,1INCH-USD,2.1525926156088744,16.0
149,CELO-USD,ENJ-USD,2.3396939014748086,10.0
150,CELO-USD,SUSHI-USD,0.7002187509603345,16.0
151,CELO-USD,UNI-USD,0.1011410526788118,4.0
152,CELO-USD,ETH-USD,0.00035012649976680745,3.0
153,CELO-USD,EOS-USD,1.1971887194689772,14.0
154,CELO-USD,ATOM-USD,0.10278319579994999,18.0
155,1INCH-USD,EOS-USD,0.5561249239514109,7.0
156,1INCH-USD,ATOM-USD,0.04775487781579213,7.0
157,ADA-USD,SUSHI-USD,0.3747787874279416,8.0
158,ADA-USD,ETH-USD,0.00018742931247673722,2.0
159,ENJ-USD,SUSHI-USD,0.29922484020029483,13.0
160,AVAX-USD,UNI-USD,4.421296247650418,8.0
161,AVAX-USD,ETH-USD,0.015345209425451228,5.0
162,AVAX-USD,XLM-USD,406.7414926827415,24.0
163,AVAX-USD,EOS-USD,52.46601727312955,18.0
164,SNX-USD,LTC-USD,0.0498215729798663,20.0
165,UNI-USD,ETH-USD,0.0034357424930130565,2.0
166,UNI-USD,XLM-USD,91.06568059459948,3.0
167,UNI-USD,EOS-USD,11.734663705586142,4.0
168,UNI-USD,ATOM-USD,1.0087637222202044,3.0
169,UNI-USD,LTC-USD,0.13853339796804115,3.0
170,ETH-USD,XLM-USD,26337.906971374683,2.0
171,ETH-USD,EOS-USD,3398.264602094612,2.0
172,ETH-USD,ATOM-USD,291.86072041805033,2.0
173,ETH-USD,LTC-USD,40.059816441357185,2.0
174,XLM-USD,EOS-USD,0.12902046986881338,5.0
175,EOS-USD,ATOM-USD,0.08573000798985239,7.0
